src/restaurantsystem/Main.java:10:	UnnecessaryImport:	UnnecessaryImport: Unused import 'java.nio.file.Files'
src/restaurantsystem/MainMenu.java:199:	MissingOverride:	MissingOverride: The method 'run()' is missing an @Override annotation.
src/restaurantsystem/MainMenu.java:206:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:206:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:206:	SingularField:	SingularField: Perhaps 'exitButton' could be replaced by a local variable.
src/restaurantsystem/MainMenu.java:207:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:207:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:207:	LongVariable:	LongVariable: Avoid excessively long variable names like itemManagementButton
src/restaurantsystem/MainMenu.java:207:	SingularField:	SingularField: Perhaps 'itemManagementButton' could be replaced by a local variable.
src/restaurantsystem/MainMenu.java:208:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:208:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:208:	SingularField:	SingularField: Perhaps 'jPanel1' could be replaced by a local variable.
src/restaurantsystem/MainMenu.java:209:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:209:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:209:	SingularField:	SingularField: Perhaps 'jPanel2' could be replaced by a local variable.
src/restaurantsystem/MainMenu.java:210:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:210:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:210:	LongVariable:	LongVariable: Avoid excessively long variable names like labourManagementButton
src/restaurantsystem/MainMenu.java:210:	SingularField:	SingularField: Perhaps 'labourManagementButton' could be replaced by a local variable.
src/restaurantsystem/MainMenu.java:211:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/MainMenu.java:211:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/MainMenu.java:211:	LongVariable:	LongVariable: Avoid excessively long variable names like orderManagementButton
src/restaurantsystem/MainMenu.java:211:	SingularField:	SingularField: Perhaps 'orderManagementButton' could be replaced by a local variable.
src/restaurantsystem/component/auth/Login.java:15:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/restaurantsystem/component/auth/Login.java:20:	CallSuperInConstructor:	CallSuperInConstructor: It is a good practice to call super() in a constructor
src/restaurantsystem/component/auth/Login.java:21:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: This method may call an overridable method during object construction: JFrame.setDefaultCloseOperation(int) (call stack: [Login.initComponents(), JFrame.setDefaultCloseOperation(int)])
src/restaurantsystem/component/auth/Login.java:42:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/component/auth/Login.java:52:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'javax.swing.WindowConstants': 'EXIT_ON_CLOSE' is already in scope because it is inherited by an enclosing type
src/restaurantsystem/component/auth/Login.java:65:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/component/auth/Login.java:65:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/component/auth/Login.java:75:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/component/auth/Login.java:75:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/component/auth/Login.java:80:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'loginPanelLayout' could be declared final
src/restaurantsystem/component/auth/Login.java:114:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'layout' could be declared final
src/restaurantsystem/component/auth/Login.java:131:	LawOfDemeter:	LawOfDemeter: Call to `getAccessibleContext` on foreign value `loginPanel` (degree 1)
src/restaurantsystem/component/auth/Login.java:136:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/component/auth/Login.java:137:	LiteralsFirstInComparisons:	LiteralsFirstInComparisons: Position literals first in String comparisons
src/restaurantsystem/component/auth/Login.java:140:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'mainMenu' could be declared final
src/restaurantsystem/component/auth/Login.java:150:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/component/auth/Login.java:159:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/component/auth/Login.java:160:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/component/auth/Login.java:161:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/component/auth/Login.java:164:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'info' could be declared final
src/restaurantsystem/component/auth/Login.java:165:	AvoidLiteralsInIfCondition:	AvoidLiteralsInIfCondition: Avoid using literals in if statements
src/restaurantsystem/component/auth/Login.java:171:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/component/auth/Login.java:172:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/component/auth/Login.java:173:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/component/auth/Login.java:174:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/component/auth/Login.java:175:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/component/auth/Login.java:176:	IdenticalCatchBranches:	IdenticalCatchBranches: 'catch' branch identical to 'ClassNotFoundException' branch
src/restaurantsystem/component/auth/Login.java:177:	GuardLogStatement:	GuardLogStatement: Logger calls should be surrounded by log level guards.
src/restaurantsystem/component/auth/Login.java:189:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:189:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:189:	SingularField:	SingularField: Perhaps 'loginButton' could be replaced by a local variable.
src/restaurantsystem/component/auth/Login.java:190:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:190:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:190:	SingularField:	SingularField: Perhaps 'loginPanel' could be replaced by a local variable.
src/restaurantsystem/component/auth/Login.java:191:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:191:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:192:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:192:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:192:	SingularField:	SingularField: Perhaps 'passwordLabel' could be replaced by a local variable.
src/restaurantsystem/component/auth/Login.java:193:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:193:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:194:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/auth/Login.java:194:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/restaurantsystem/component/auth/Login.java:194:	SingularField:	SingularField: Perhaps 'userNameLabel' could be replaced by a local variable.
src/restaurantsystem/component/billing/BillingHelper.java:19:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:19:	ShortVariable:	ShortVariable: Avoid variables with short names like sc
src/restaurantsystem/component/billing/BillingHelper.java:19:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'sc'.
src/restaurantsystem/component/billing/BillingHelper.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:21:	SingularField:	SingularField: Perhaps 'name' could be replaced by a local variable.
src/restaurantsystem/component/billing/BillingHelper.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:22:	SingularField:	SingularField: Perhaps 'price' could be replaced by a local variable.
src/restaurantsystem/component/billing/BillingHelper.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:23:	SingularField:	SingularField: Perhaps 'quantity' could be replaced by a local variable.
src/restaurantsystem/component/billing/BillingHelper.java:24:	AvoidStringBufferField:	AvoidStringBufferField: StringBuffers can grow quite a lot, and so may become a source of memory leak (if the owning class has a long life time).
src/restaurantsystem/component/billing/BillingHelper.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:24:	ImmutableField:	ImmutableField: Field 'fullnames' may be declared final
src/restaurantsystem/component/billing/BillingHelper.java:25:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:25:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'dPrice'.
src/restaurantsystem/component/billing/BillingHelper.java:26:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:26:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'dQuantity'.
src/restaurantsystem/component/billing/BillingHelper.java:27:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:27:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'multi'.
src/restaurantsystem/component/billing/BillingHelper.java:28:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingHelper.java:28:	ShortVariable:	ShortVariable: Avoid variables with short names like pw
src/restaurantsystem/component/billing/BillingHelper.java:28:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'pw'.
src/restaurantsystem/component/billing/BillingHelper.java:30:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/restaurantsystem/component/billing/BillingHelper.java:41:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/restaurantsystem/component/billing/BillingHelper.java:46:	AvoidFileStream:	AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
src/restaurantsystem/component/billing/BillingHelper.java:51:	UnnecessaryBoxing:	UnnecessaryBoxing: Unnecessary implicit unboxing. Use Double.parseDouble(...) instead
src/restaurantsystem/component/billing/BillingHelper.java:53:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/restaurantsystem/component/billing/BillingHelper.java:54:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/restaurantsystem/component/billing/BillingHelper.java:62:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/restaurantsystem/component/billing/BillingHelper.java:63:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/restaurantsystem/component/billing/BillingHelper.java:64:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/restaurantsystem/component/billing/BillingHelper.java:74:	InefficientStringBuffering:	InefficientStringBuffering: Avoid concatenating nonliterals in a StringBuffer/StringBuilder constructor or append().
src/restaurantsystem/component/billing/BillingHelper.java:76:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/restaurantsystem/component/billing/BillingHelper.java:77:	SystemPrintln:	SystemPrintln: Usage of System.out/err
src/restaurantsystem/component/billing/BillingManagement.java:18:	MissingSerialVersionUID:	MissingSerialVersionUID: Classes implementing Serializable should set a serialVersionUID
src/restaurantsystem/component/billing/BillingManagement.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingManagement.java:20:	NonSerializableClass:	NonSerializableClass: The field 't' of serializable class 'restaurantsystem.component.billing.BillingManagement' is of non-serializable type 'restaurantsystem.component.billing.BillingHelper'.
src/restaurantsystem/component/billing/BillingManagement.java:20:	ShortVariable:	ShortVariable: Avoid variables with short names like t
src/restaurantsystem/component/billing/BillingManagement.java:20:	SingularField:	SingularField: Perhaps 't' could be replaced by a local variable.
src/restaurantsystem/component/billing/BillingManagement.java:21:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingManagement.java:22:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingManagement.java:23:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingManagement.java:23:	ImmutableField:	ImmutableField: Field 'totalPrice' may be declared final
src/restaurantsystem/component/billing/BillingManagement.java:23:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'totalPrice'
src/restaurantsystem/component/billing/BillingManagement.java:23:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'totalPrice'.
src/restaurantsystem/component/billing/BillingManagement.java:24:	CommentRequired:	CommentRequired: Field comments are required
src/restaurantsystem/component/billing/BillingManagement.java:24:	ImmutableField:	ImmutableField: Field 'sum' may be declared final
src/restaurantsystem/component/billing/BillingManagement.java:24:	RedundantFieldInitializer:	RedundantFieldInitializer: Avoid using redundant field initializer for 'sum'
src/restaurantsystem/component/billing/BillingManagement.java:24:	UnusedPrivateField:	UnusedPrivateField: Avoid unused private fields such as 'sum'.
src/restaurantsystem/component/billing/BillingManagement.java:26:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'name' is not assigned and could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:26:	MissingOverride:	MissingOverride: The method 'setName(String)' is missing an @Override annotation.
src/restaurantsystem/component/billing/BillingManagement.java:30:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'quantity' is not assigned and could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:34:	MissingOverride:	MissingOverride: The method 'getName()' is missing an @Override annotation.
src/restaurantsystem/component/billing/BillingManagement.java:45:	CallSuperInConstructor:	CallSuperInConstructor: It is a good practice to call super() in a constructor
src/restaurantsystem/component/billing/BillingManagement.java:46:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: This method may call an overridable method during object construction: JFrame.setDefaultCloseOperation(int) (call stack: [BillingManagement.initComponents(), JFrame.setDefaultCloseOperation(int)])
src/restaurantsystem/component/billing/BillingManagement.java:47:	ConstructorCallsOverridableMethod:	ConstructorCallsOverridableMethod: Overridable method called during object construction: BillingManagement.display() 
src/restaurantsystem/component/billing/BillingManagement.java:51:	CommentRequired:	CommentRequired: Public method and constructor comments are required
src/restaurantsystem/component/billing/BillingManagement.java:69:	CommentSize:	CommentSize: Comment is too large: Line too long
src/restaurantsystem/component/billing/BillingManagement.java:70:	ExcessiveMethodLength:	ExcessiveMethodLength: Avoid really long methods.
src/restaurantsystem/component/billing/BillingManagement.java:80:	UnnecessaryFullyQualifiedName:	UnnecessaryFullyQualifiedName: Unnecessary qualifier 'javax.swing.WindowConstants': 'EXIT_ON_CLOSE' is already in scope because it is inherited by an enclosing type
src/restaurantsystem/component/billing/BillingManagement.java:96:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:96:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/component/billing/BillingManagement.java:103:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:103:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/component/billing/BillingManagement.java:110:	MethodArgumentCouldBeFinal:	MethodArgumentCouldBeFinal: Parameter 'evt' is not assigned and could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:110:	MissingOverride:	MissingOverride: The method 'actionPerformed(ActionEvent)' is missing an @Override annotation.
src/restaurantsystem/component/billing/BillingManagement.java:115:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'jPanel1Layout' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:152:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'layout' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:171:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/component/billing/BillingManagement.java:174:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'om' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:174:	ShortVariable:	ShortVariable: Avoid variables with short names like om
src/restaurantsystem/component/billing/BillingManagement.java:179:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/component/billing/BillingManagement.java:184:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'rm' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:184:	ShortVariable:	ShortVariable: Avoid variables with short names like rm
src/restaurantsystem/component/billing/BillingManagement.java:188:	AvoidFileStream:	AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
src/restaurantsystem/component/billing/BillingManagement.java:188:	CloseResource:	CloseResource: Ensure that resources like this PrintWriter object are closed after use
src/restaurantsystem/component/billing/BillingManagement.java:188:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'pw1' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:189:	AvoidFileStream:	AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
src/restaurantsystem/component/billing/BillingManagement.java:189:	CloseResource:	CloseResource: Ensure that resources like this PrintWriter object are closed after use
src/restaurantsystem/component/billing/BillingManagement.java:189:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'pw2' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:190:	AvoidFileStream:	AvoidFileStream: Avoid instantiating FileInputStream, FileOutputStream, FileReader, or FileWriter
src/restaurantsystem/component/billing/BillingManagement.java:190:	CloseResource:	CloseResource: Ensure that resources like this PrintWriter object are closed after use
src/restaurantsystem/component/billing/BillingManagement.java:190:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'pw3' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:193:	EmptyStatementNotInLoop:	EmptyStatementNotInLoop: An empty statement (semicolon) not part of a loop
src/restaurantsystem/component/billing/BillingManagement.java:193:	UnnecessarySemicolon:	UnnecessarySemicolon: Unnecessary semicolon
src/restaurantsystem/component/billing/BillingManagement.java:196:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
src/restaurantsystem/component/billing/BillingManagement.java:196:	EmptyCatchBlock:	EmptyCatchBlock: Avoid empty catch blocks
src/restaurantsystem/component/billing/BillingManagement.java:200:	UnusedFormalParameter:	UnusedFormalParameter: Avoid unused method parameters such as 'evt'.
src/restaurantsystem/component/billing/BillingManagement.java:204:	LocalVariableCouldBeFinal:	LocalVariableCouldBeFinal: Local variable 'complete' could be declared final
src/restaurantsystem/component/billing/BillingManagement.java:211:	AvoidCatchingGenericException:	AvoidCatchingGenericException: Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in try-catch block
